时间,伸缩量(mm)
2023-01-14 07:50:00,1600.44
2023-01-14 09:00:00,1600.77
2023-01-14 10:10:00,1601.63
2023-01-14 11:20:00,1602.43
2023-01-14 12:30:00,1603.88
2023-01-14 13:40:00,1605.37
2023-01-14 14:50:00,1606.98
2023-01-14 16:00:00,1608.58
2023-01-14 17:10:00,1610.63
2023-01-14 18:20:00,1613.12
2023-01-14 19:30:00,1615.36
2023-01-14 20:40:00,1617.16
2023-01-14 21:50:00,1618.57
2023-01-14 23:00:00,1619.98
2023-01-15 00:20:00,1621.99
2023-01-15 01:30:00,1623.65
2023-01-15 02:40:00,1625.94
2023-01-15 03:50:00,1628.23
2023-01-15 05:00:00,1630.71
2023-01-15 06:10:00,1632.65
2023-01-15 07:20:00,1634.48
2023-01-15 08:30:00,1636.14
2023-01-15 09:40:00,1637.56
2023-01-15 10:50:00,1638.7
2023-01-15 12:00:00,1639.31
2023-01-15 13:10:00,1639.47
2023-01-15 14:20:00,1639.7
2023-01-15 15:30:00,1639.92
2023-01-15 16:40:00,1640.11
2023-01-15 17:50:00,1640.25
2023-01-15 19:00:00,1640.5
2023-01-15 20:10:00,1640.77
2023-01-15 21:20:00,1641.08
2023-01-15 22:30:00,1641.24
2023-01-15 23:40:00,1641.49
2023-01-16 01:00:00,1641.8
2023-01-16 02:10:00,1642.18
2023-01-16 03:20:00,1642.74
2023-01-16 04:30:00,1643.15
2023-01-16 05:40:00,1643.73
2023-01-16 06:50:00,1644.23
2023-01-16 08:00:00,1644.65
2023-01-16 09:10:00,1644.79
2023-01-16 10:20:00,1644.82
2023-01-16 11:30:00,1644.87
2023-01-16 12:40:00,1644.9
2023-01-16 13:50:00,1644.87
2023-01-16 15:00:00,1644.9
2023-01-16 16:10:00,1644.9
2023-01-16 17:20:00,1644.9
2023-01-16 18:30:00,1644.93
2023-01-16 19:40:00,1644.93
2023-01-16 20:50:00,1644.93
2023-01-16 22:00:00,1644.93
2023-01-16 23:10:00,1644.93
2023-01-17 00:30:00,1644.93
2023-01-17 01:40:00,1644.93
2023-01-17 02:50:00,1645.87
2023-01-17 04:00:00,1646.61
2023-01-17 05:10:00,1646.81
2023-01-17 06:20:00,1646.86
2023-01-17 07:30:00,1646.95
2023-01-17 08:40:00,1647
2023-01-17 09:50:00,1647
2023-01-17 11:00:00,1647
2023-01-17 12:10:00,1647
2023-01-17 13:20:00,1647
2023-01-17 14:30:00,1645.11
2023-01-17 15:40:00,1643.16
2023-01-17 16:50:00,1642.11
2023-01-17 18:00:00,1642.08
2023-01-17 19:10:00,1642.08
2023-01-17 20:20:00,1642.16
2023-01-17 21:30:00,1642.59
2023-01-17 22:40:00,1643.47
2023-01-17 23:50:00,1643.81
2023-01-18 01:10:00,1643.89
2023-01-18 02:20:00,1644.08
2023-01-18 03:30:00,1644.25
2023-01-18 04:40:00,1644.31
2023-01-18 05:50:00,1644.5
2023-01-18 07:00:00,1645.43
2023-01-18 08:10:00,1646.29
2023-01-18 09:20:00,1646.46
2023-01-18 10:30:00,1646.46
2023-01-18 11:40:00,1646.46
2023-01-18 12:50:00,1644.74
2023-01-18 14:00:00,1640.33
2023-01-18 15:10:00,1635.62
2023-01-18 16:20:00,1632.97
2023-01-18 17:30:00,1632.36
2023-01-18 18:40:00,1632.28
2023-01-18 19:50:00,1632.25
2023-01-18 21:00:00,1632.25
2023-01-18 22:10:00,1632.25
2023-01-18 23:20:00,1633.04
2023-01-19 00:40:00,1633.98
2023-01-19 01:50:00,1634.58
2023-01-19 03:00:00,1637.34
2023-01-19 04:10:00,1640.41
2023-01-19 05:20:00,1641.85
2023-01-19 06:30:00,1643.37
2023-01-19 07:40:00,1644.27
2023-01-19 08:50:00,1645.29
2023-01-19 10:00:00,1645.4
2023-01-19 11:10:00,1643.88
2023-01-19 12:20:00,1635.82
2023-01-19 13:30:00,1621.45
2023-01-19 14:40:00,1608.76
2023-01-19 15:50:00,1602.05
2023-01-19 17:00:00,1600.61
2023-01-19 18:10:00,1600.67
2023-01-19 19:20:00,1603.17
2023-01-19 20:30:00,1608.53
2023-01-19 21:40:00,1615
2023-01-19 22:50:00,1619.64
2023-01-20 00:10:00,1625.14
2023-01-20 01:20:00,1629.9
2023-01-20 02:30:00,1633.99
2023-01-20 03:40:00,1638.07
2023-01-20 04:50:00,1641.2
2023-01-20 06:00:00,1643.64
2023-01-20 07:10:00,1646.23
2023-01-20 08:20:00,1647.62
2023-01-20 09:30:00,1647.7
2023-01-20 10:40:00,1647.7
2023-01-20 11:50:00,1646.18
2023-01-20 13:00:00,1643.38
2023-01-20 14:10:00,1640.79
2023-01-20 15:20:00,1639.08
2023-01-20 16:30:00,1637.66
2023-01-20 17:40:00,1636.86
2023-01-20 18:50:00,1636.75
2023-01-20 20:00:00,1636.75
2023-01-20 21:10:00,1636.75
2023-01-20 22:20:00,1636.73
2023-01-20 23:30:00,1636.73
2023-01-21 00:50:00,1636.73
2023-01-21 02:00:00,1636.73
2023-01-21 03:10:00,1636.73
2023-01-21 04:20:00,1636.73
2023-01-21 05:30:00,1636.73
2023-01-21 06:40:00,1636.84
2023-01-21 07:50:00,1637.31
2023-01-21 09:00:00,1637.44
2023-01-21 10:10:00,1637.44
2023-01-21 11:20:00,1637.39
2023-01-21 12:30:00,1637.17
2023-01-21 13:40:00,1636.17
2023-01-21 14:50:00,1634.65
2023-01-21 16:00:00,1632.78
2023-01-21 17:10:00,1631.62
2023-01-21 18:20:00,1631.45
2023-01-21 19:30:00,1631.45
2023-01-21 20:40:00,1631.45
2023-01-21 21:50:00,1631.42
