时间,位移量(mm)
2023-01-22 00:20:00,76.57
2023-01-22 01:30:00,76.88
2023-01-22 02:40:00,77.04
2023-01-22 03:50:00,77.2
2023-01-22 05:00:00,77.4
2023-01-22 06:10:00,77.83
2023-01-22 07:20:00,78.26
2023-01-22 08:30:00,78.42
2023-01-22 09:40:00,78.42
2023-01-22 10:50:00,78.34
2023-01-22 12:00:00,77.87
2023-01-22 13:10:00,76.44
2023-01-22 14:20:00,76.13
2023-01-22 15:30:00,76.13
2023-01-22 16:40:00,76.13
2023-01-22 17:50:00,76.13
2023-01-22 19:00:00,76.17
2023-01-22 20:10:00,76.48
2023-01-22 21:20:00,76.8
2023-01-22 22:30:00,77.19
2023-01-22 23:40:00,77.74
2023-01-23 01:00:00,78.38
2023-01-23 02:10:00,78.77
2023-01-23 03:20:00,79
2023-01-23 04:30:00,79.08
2023-01-23 05:40:00,79.2
2023-01-23 06:50:00,79.28
2023-01-23 08:00:00,79.32
2023-01-23 09:10:00,79.36
2023-01-23 10:20:00,79.36
2023-01-23 11:30:00,79.12
2023-01-23 12:40:00,78.21
2023-01-23 13:50:00,76.79
2023-01-23 15:00:00,76.32
2023-01-23 16:10:00,76.32
2023-01-23 17:20:00,76.32
2023-01-23 18:30:00,76.4
2023-01-23 19:40:00,76.91
2023-01-23 20:50:00,77.3
2023-01-23 22:00:00,77.66
2023-01-23 23:10:00,78.25
2023-01-24 00:30:00,79.16
2023-01-24 01:40:00,79.59
2023-01-24 02:50:00,79.95
2023-01-24 04:00:00,79.98
2023-01-24 05:10:00,79.98
2023-01-24 06:20:00,79.98
2023-01-24 07:30:00,79.98
2023-01-24 08:40:00,79.98
2023-01-24 09:50:00,79.94
2023-01-24 11:00:00,78.88
2023-01-24 12:10:00,77.02
2023-01-24 13:20:00,76.35
2023-01-24 14:30:00,76.35
2023-01-24 15:40:00,76.35
2023-01-24 16:50:00,76.35
2023-01-24 18:00:00,76.55
2023-01-24 19:10:00,77.14
2023-01-24 20:20:00,77.66
2023-01-24 21:30:00,78.73
2023-01-24 22:40:00,79.36
2023-01-24 23:50:00,79.87
2023-01-25 01:10:00,79.9
2023-01-25 02:20:00,79.94
2023-01-25 03:30:00,79.95
2023-01-25 04:40:00,79.98
2023-01-25 05:50:00,79.98
2023-01-25 07:00:00,79.98
2023-01-25 08:10:00,79.98
2023-01-25 09:20:00,79.94
2023-01-25 10:30:00,79.47
2023-01-25 11:40:00,78.76
2023-01-25 12:50:00,77.61
2023-01-25 14:00:00,76.67
2023-01-25 15:10:00,76.19
2023-01-25 16:20:00,76.19
2023-01-25 17:30:00,76.19
2023-01-25 18:40:00,76.39
2023-01-25 19:50:00,77.22
2023-01-25 21:00:00,78.64
2023-01-25 22:10:00,79.15
2023-01-25 23:20:00,79.59
2023-01-26 00:40:00,79.78
2023-01-26 01:50:00,79.78
2023-01-26 03:00:00,79.78
2023-01-26 04:10:00,79.78
2023-01-26 05:20:00,79.78
2023-01-26 06:30:00,79.78
2023-01-26 07:40:00,79.78
2023-01-26 08:50:00,79.78
2023-01-26 10:00:00,79.74
2023-01-26 11:10:00,79.19
2023-01-26 12:20:00,78.32
2023-01-26 13:30:00,76.93
2023-01-26 14:40:00,76.42
2023-01-26 15:50:00,76.15
2023-01-26 17:00:00,76.07
2023-01-26 18:10:00,76.07
2023-01-26 19:20:00,76.07
2023-01-26 20:30:00,76.11
2023-01-26 21:40:00,76.27
2023-01-26 22:50:00,76.59
2023-01-27 00:10:00,76.99
2023-01-27 01:20:00,78.01
2023-01-27 02:30:00,78.92
2023-01-27 03:40:00,79.32
2023-01-27 04:50:00,79.7
2023-01-27 06:00:00,79.74
2023-01-27 07:10:00,79.74
2023-01-27 08:20:00,79.74
2023-01-27 09:30:00,79.71
2023-01-27 10:40:00,77.61
2023-01-27 11:50:00,75.83
2023-01-27 13:00:00,75.83
2023-01-27 14:10:00,75.75
2023-01-27 15:20:00,75.52
2023-01-27 16:30:00,75.23
2023-01-27 17:40:00,75.39
2023-01-27 18:50:00,77.02
2023-01-27 20:00:00,78.55
2023-01-27 21:10:00,79.03
2023-01-27 22:20:00,79.19
2023-01-27 23:30:00,79.31
2023-01-28 00:50:00,79.42
2023-01-28 02:00:00,79.47
2023-01-28 03:10:00,79.58
2023-01-28 04:20:00,79.7
2023-01-28 05:30:00,79.86
2023-01-28 06:40:00,79.97
2023-01-28 07:50:00,80.02
2023-01-28 09:00:00,80.05
2023-01-28 10:10:00,79.11
2023-01-28 11:20:00,76.45
2023-01-28 12:30:00,76.14
2023-01-28 13:40:00,76.1
2023-01-28 14:50:00,76.06
2023-01-28 16:00:00,76.02
2023-01-28 17:10:00,76.02
2023-01-28 18:20:00,76.73
2023-01-28 19:30:00,78.59
2023-01-28 20:40:00,79.58
2023-01-28 21:50:00,79.74
2023-01-28 23:00:00,79.78
2023-01-29 00:20:00,79.9
2023-01-29 01:30:00,79.98
2023-01-29 02:40:00,80.14
2023-01-29 03:50:00,80.37
2023-01-29 05:00:00,80.53
2023-01-29 06:10:00,80.69
2023-01-29 07:20:00,80.84
2023-01-29 08:30:00,80.92
2023-01-29 09:40:00,80.77
2023-01-29 10:50:00,78.11
2023-01-29 12:00:00,77.04
2023-01-29 13:10:00,76.92
2023-01-29 14:20:00,76.73
2023-01-29 15:30:00,76.49
2023-01-29 16:40:00,76.45
2023-01-29 17:50:00,76.53
2023-01-29 19:00:00,78.12
2023-01-29 20:10:00,79.57
2023-01-29 21:20:00,80.01
2023-01-29 22:30:00,80.13
2023-01-29 23:40:00,80.24
2023-01-30 01:10:00,80.32
2023-01-30 02:20:00,80.44
2023-01-30 03:30:00,80.6
2023-01-30 04:40:00,80.76
2023-01-30 05:50:00,80.92
2023-01-30 07:00:00,81.07
2023-01-30 08:10:00,81.19
2023-01-30 09:20:00,81.14
2023-01-30 10:30:00,78.65
2023-01-30 11:40:00,77.23
2023-01-30 12:50:00,77.23
2023-01-30 14:00:00,76.68
2023-01-30 15:10:00,76.24
2023-01-30 16:20:00,75.57
2023-01-30 17:30:00,75.53
2023-01-30 18:40:00,76.64
2023-01-30 19:50:00,78.57
2023-01-30 21:00:00,79.16
2023-01-30 22:10:00,79.32
2023-01-30 23:20:00,79.48
2023-01-31 00:40:00,79.6
2023-01-31 01:50:00,79.76
2023-01-31 03:00:00,79.92
2023-01-31 04:10:00,80.15
2023-01-31 05:20:00,80.31
2023-01-31 06:30:00,80.54
2023-01-31 07:40:00,80.86
2023-01-31 08:50:00,80.94
2023-01-31 10:00:00,79.68
2023-01-31 11:10:00,77.31
2023-01-31 12:20:00,76.87
2023-01-31 13:30:00,76.6
2023-01-31 14:40:00,76.48
2023-01-31 15:50:00,76.08
2023-01-31 17:00:00,76
2023-01-31 18:10:00,76.4
2023-01-31 19:20:00,78.33
2023-01-31 20:30:00,79.4
2023-01-31 21:40:00,79.63
2023-01-31 22:50:00,79.79
2023-02-01 00:10:00,79.83
2023-02-01 01:20:00,79.91
2023-02-01 02:30:00,80.03
2023-02-01 03:40:00,80.19
2023-02-01 04:50:00,80.31
2023-02-01 06:00:00,80.46
2023-02-01 07:10:00,80.54
2023-02-01 08:20:00,80.54
2023-02-01 09:30:00,80.54
2023-02-01 10:40:00,80.26
2023-02-01 11:50:00,79.27
2023-02-01 13:00:00,78.07
2023-02-01 14:10:00,77.4
2023-02-01 15:20:00,77.16
2023-02-01 16:30:00,77.16
2023-02-01 17:40:00,77.16
2023-02-01 18:50:00,77.16
2023-02-01 20:00:00,77.16
2023-02-01 21:10:00,77.2
2023-02-01 22:20:00,77.24
2023-02-01 23:30:00,77.2
2023-02-02 00:50:00,77.2
2023-02-02 02:00:00,77.16
