时间,挠度(mm)
2023-01-16 02:20:00,-53.39
2023-01-16 03:10:00,-49.44
2023-01-16 04:00:00,-51.48
2023-01-16 04:50:00,-53.51
2023-01-16 05:40:00,-53.34
2023-01-16 06:30:00,-49.45
2023-01-16 07:20:00,-50.83
2023-01-16 08:10:00,-51.77
2023-01-16 09:00:00,-51.78
2023-01-16 09:50:00,-49.22
2023-01-16 10:40:00,-50.13
2023-01-16 11:40:00,-53.65
2023-01-16 12:40:00,-52.9
2023-01-16 13:30:00,-49.87
2023-01-16 14:20:00,-50.68
2023-01-16 15:10:00,-50.96
2023-01-16 16:00:00,-51.6
2023-01-16 16:50:00,-47.78
2023-01-16 17:40:00,-49
2023-01-16 18:30:00,-48.71
2023-01-16 19:20:00,-48.58
2023-01-16 20:10:00,-46.6
2023-01-16 21:00:00,-49.09
2023-01-16 21:50:00,-46.96
2023-01-16 22:40:00,-47.32
2023-01-16 23:30:00,-50.13
2023-01-17 00:30:00,-50.96
2023-01-17 01:20:00,-48.58
2023-01-17 02:10:00,-50.52
2023-01-17 03:00:00,-53.87
2023-01-17 03:50:00,-52.58
2023-01-17 04:40:00,-52.25
2023-01-17 05:30:00,-53.41
2023-01-17 06:20:00,-51.55
2023-01-17 07:10:00,-54.09
2023-01-17 08:00:00,-54.18
2023-01-17 08:50:00,-49.63
2023-01-17 09:40:00,-53.26
2023-01-17 10:30:00,-51.86
2023-01-17 11:20:00,-48.01
2023-01-17 12:10:00,-48.61
2023-01-17 13:00:00,-49.35
2023-01-17 13:50:00,-48.83
2023-01-17 14:40:00,-49.52
2023-01-17 15:30:00,-44.59
2023-01-17 16:20:00,-48.04
2023-01-17 17:10:00,-46.26
2023-01-17 18:00:00,-49.69
2023-01-17 18:50:00,-48.7
2023-01-17 19:40:00,-47.64
2023-01-17 20:30:00,-46.41
2023-01-17 21:20:00,-49.76
2023-01-17 22:10:00,-47.86
2023-01-17 23:00:00,-49.67
2023-01-17 23:50:00,-50.49
2023-01-18 00:50:00,-49.01
2023-01-18 01:40:00,-51.91
2023-01-18 02:30:00,-50.05
2023-01-18 03:20:00,-49.68
2023-01-18 04:10:00,-49.93
2023-01-18 05:00:00,-49.9
2023-01-18 05:50:00,-47.54
2023-01-18 06:40:00,-48.96
2023-01-18 07:30:00,-51.63
2023-01-18 08:20:00,-52.1
2023-01-18 09:10:00,-50.86
2023-01-18 10:00:00,-52.63
2023-01-18 10:50:00,-50.38
2023-01-18 11:40:00,-47.79
2023-01-18 12:30:00,-49.47
2023-01-18 13:20:00,-46.25
2023-01-18 14:10:00,-43.48
2023-01-18 15:00:00,-42.55
2023-01-18 15:50:00,-41.88
2023-01-18 16:40:00,-42.05
2023-01-18 17:40:00,-40.36
2023-01-18 18:30:00,-39.69
2023-01-18 19:20:00,-39.36
2023-01-18 20:10:00,-39.58
2023-01-18 21:00:00,-42.06
2023-01-18 21:50:00,-40.39
2023-01-18 22:40:00,-44.77
2023-01-18 23:30:00,-44.6
2023-01-19 00:30:00,-43.66
2023-01-19 01:20:00,-42.22
2023-01-19 02:10:00,-42.91
2023-01-19 03:00:00,-42.96
2023-01-19 03:50:00,-45.54
2023-01-19 04:40:00,-47.06
2023-01-19 05:30:00,-45.97
2023-01-19 06:20:00,-51.74
2023-01-19 07:10:00,-49.39
2023-01-19 08:00:00,-51.46
2023-01-19 08:50:00,-50.37
2023-01-19 09:40:00,-53.08
2023-01-19 10:30:00,-49.07
2023-01-19 11:20:00,-48.17
2023-01-19 12:10:00,-46.58
2023-01-19 13:00:00,-45.1
2023-01-19 13:50:00,-41.34
2023-01-19 14:40:00,-38.65
2023-01-19 15:30:00,-35.8
2023-01-19 16:20:00,-34.31
2023-01-19 17:10:00,-31.47
2023-01-19 18:00:00,-33.11
2023-01-19 18:50:00,-31.82
2023-01-19 19:40:00,-30.14
2023-01-19 20:30:00,-35.72
2023-01-19 21:20:00,-38.43
2023-01-19 22:10:00,-40.57
2023-01-19 23:00:00,-40.88
2023-01-19 23:50:00,-38.88
2023-01-20 00:50:00,-40.54
2023-01-20 01:40:00,-45.5
2023-01-20 02:50:00,-45.51
2023-01-20 03:40:00,-48.99
2023-01-20 04:30:00,-49.41
2023-01-20 05:20:00,-48.15
2023-01-20 06:10:00,-48.19
2023-01-20 07:00:00,-50
2023-01-20 07:50:00,-54.77
2023-01-20 08:40:00,-53.89
2023-01-20 09:30:00,-50.91
2023-01-20 10:20:00,-53.07
2023-01-20 11:10:00,-49.87
2023-01-20 12:00:00,-51.56
2023-01-20 12:50:00,-48.6
2023-01-20 13:40:00,-48.98
2023-01-20 14:30:00,-44.84
2023-01-20 15:20:00,-44.49
2023-01-20 16:10:00,-44.11
2023-01-20 17:00:00,-41.41
2023-01-20 17:50:00,-43.98
2023-01-20 18:40:00,-41.99
2023-01-20 19:30:00,-41.74
2023-01-20 20:20:00,-43.43
2023-01-20 21:20:00,-42.81
2023-01-20 22:10:00,-42.56
2023-01-20 23:00:00,-42.81
2023-01-20 23:50:00,-41.73
2023-01-21 00:50:00,-43.22
2023-01-21 01:40:00,-41.69
2023-01-21 02:30:00,-42.74
2023-01-21 03:20:00,-45.66
2023-01-21 04:10:00,-43.24
2023-01-21 05:00:00,-45.74
2023-01-21 05:50:00,-43.74
2023-01-21 06:40:00,-43.82
2023-01-21 07:30:00,-45.03
2023-01-21 08:20:00,-44.08
2023-01-21 09:10:00,-43.85
2023-01-21 10:00:00,-46.82
2023-01-21 10:50:00,-43.44
2023-01-21 11:40:00,-44.32
2023-01-21 12:30:00,-43.01
2023-01-21 13:20:00,-45.14
2023-01-21 14:10:00,-42.19
2023-01-21 15:00:00,-42.93
2023-01-21 16:50:00,-40.26
2023-01-21 17:40:00,-42.21
2023-01-21 18:30:00,-41.3
